rank,title,star,chapter
1,마도전생기 [독점],9.8,총62화/미완결
2,초인의 시대,9.9,총174화/미완결
3,킬러 배드로,9.8,총33화/미완결
4,원피스 [단행본],9.2,총107권/미완결
5,역대급 영지 설계사 [독점],9.9,총138화/미완결
6,입학용병,9.9,총182화/미완결
7,화산귀환[독점],9.9,총117화/미완결
8,열혈강호 [단행본],9.2,총89권/미완결
9,광마회귀 [독점],9.9,총115화/미완결
10,세레나,9.9,총80화/미완결
11,비질란테 2부,9.9,총14화/미완결
12,개꿈,9.2,총22화/미완결
13,별이삼샵,10.0,총162화/미완결
14,킹덤 [단행본],9.6,총69권/미완결
15,신입사원 강 회장,9.4,총39화/미완결
16,플레이어가 과거를 숨김 [독점],9.8,총48화/미완결
17,시월드가 내게 집착한다,10.0,총102화/미완결
18,천화서고 대공자 [독점],9.9,총70화/미완결
19,왕의 힘으로 회귀한다,9.6,총29화/미완결
20,99강화나무몽둥이,9.7,총96화/미완결
